,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0009555816650390625,6.597968723329677e-05,0.0006161689758300781,4.027216572261239e-05,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9284584980237154,0.04476011910479707,10
1,0.0010920524597167968,5.127243512024845e-05,0.0007291316986083984,3.155185031246378e-05,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7391304347826086,0.8260869565217391,0.9545454545454546,0.8636363636363636,0.7727272727272727,0.8312252964426877,0.0750842507201956,17
2,0.0012654304504394532,3.4148865452108815e-05,0.0005597591400146485,2.480075854461925e-05,0.1,0.1,sigmoid,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.34782608695652173,0.2608695652173913,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.2944664031620553,0.09238364196418557,25
3,0.000684356689453125,9.831690740830584e-05,0.0004426479339599609,2.0835437686229324e-05,0.1,1,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9284584980237154,0.04476011910479707,10
4,0.0009777545928955078,0.00010364546774052988,0.0006723880767822265,0.00011274062117651595,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.8260869565217391,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9197628458498024,0.05770750988142293,13
5,0.0010914802551269531,0.0001548548768774271,0.0005638599395751953,7.964850724551581e-05,0.1,1,sigmoid,"{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
6,0.0006655216217041016,5.85272888292966e-05,0.0004518985748291016,3.42489263962693e-05,0.1,10,linear,"{'C': 0.1, 'gamma': 10, 'kernel': 'linear'}",0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9284584980237154,0.04476011910479707,10
7,0.0009281158447265625,2.945194271003873e-05,0.0005869388580322266,8.454149344483192e-06,0.1,10,rbf,"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.6956521739130435,0.2608695652173913,0.4090909090909091,0.45454545454545453,0.3181818181818182,0.42766798418972335,0.15012792224792484,18
8,0.0008154869079589844,0.0001150308345485768,0.00044112205505371095,1.6277826603727415e-05,0.1,10,sigmoid,"{'C': 0.1, 'gamma': 10, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
9,0.0008405685424804687,0.00020961398094644429,0.0006178379058837891,0.0002482827757029114,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
10,0.0008431434631347656,0.00022165207903291056,0.0006494522094726562,0.00017527038242671271,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9130434782608695,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9371541501976285,0.035800764819681447,9
11,0.0013148784637451172,0.00014283354421244898,0.0005969524383544922,9.939343153570202e-05,1,0.1,sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.34782608695652173,0.2608695652173913,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.2944664031620553,0.09238364196418557,25
12,0.0005754470825195312,3.0399855409064022e-05,0.0004105567932128906,2.4057840527377914e-05,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
13,0.0007162094116210938,6.595194016273539e-06,0.0005073070526123047,3.9971185874126584e-05,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8695652173913043,1.0,0.9545454545454546,0.9545454545454546,0.9090909090909091,0.9375494071146244,0.04451863423417024,8
14,0.0008119583129882812,8.939566222880412e-05,0.0004529476165771484,3.741953584775644e-05,1,1,sigmoid,"{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
15,0.0008366584777832031,0.00011510056876903273,0.0005634307861328125,7.338451052992952e-05,1,10,linear,"{'C': 1, 'gamma': 10, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
16,0.0015044689178466796,0.00019759497807246947,0.0008924961090087891,9.583520609202878e-05,1,10,rbf,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.9130434782608695,0.9565217391304348,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8920948616600791,0.037468187592582025,15
17,0.0009000778198242187,0.00010026439856410285,0.0005160331726074219,8.212440001700326e-05,1,10,sigmoid,"{'C': 1, 'gamma': 10, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
18,0.0006798267364501953,0.00012650550018236274,0.00046844482421875,7.372824622311256e-05,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
19,0.0006106376647949218,9.470230860006975e-06,0.00043849945068359376,3.346024473733679e-06,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9130434782608695,1.0,0.9545454545454546,0.9090909090909091,0.9545454545454546,0.9462450592885375,0.033196875254697354,7
20,0.0015482425689697266,0.00039559079682330913,0.0007727146148681641,0.0001968481164009664,10,0.1,sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.34782608695652173,0.2608695652173913,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.2944664031620553,0.09238364196418557,25
21,0.0008423328399658203,0.0001635668224915073,0.0006760120391845703,0.00033966455308468167,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
22,0.0014820098876953125,0.00016351190445838566,0.0009613037109375,5.693144127874973e-05,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8695652173913043,1.0,0.9545454545454546,0.8636363636363636,0.9090909090909091,0.9193675889328062,0.051828416484287765,14
23,0.0011165618896484375,0.00010451215408839729,0.0006505966186523438,4.5454212913623685e-05,10,1,sigmoid,"{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
24,0.0008608818054199219,0.0001494772616372297,0.0006499767303466796,0.00014195069790927942,10,10,linear,"{'C': 10, 'gamma': 10, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
25,0.0022090911865234376,0.00014342518226650528,0.0011710643768310547,0.00021992034736298272,10,10,rbf,"{'C': 10, 'gamma': 10, 'kernel': 'rbf'}",0.9565217391304348,0.9565217391304348,0.8636363636363636,0.8181818181818182,0.8636363636363636,0.891699604743083,0.05546850305670634,16
26,0.0008883476257324219,4.3863576053863705e-05,0.0005170345306396484,1.5966997442458566e-05,10,10,sigmoid,"{'C': 10, 'gamma': 10, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
